"Predmet","Tip","Nastavnik","Grupe","Dan","Termin","Učionica"
"Racunarske komunikacije","Vezbe","Majstorovic Dunja","2s2","     UTO     ","18:15-21","U3"
"Programiranje WEB aplikacija","Predavanja i vezbe","Medenica Igor","2s2","      PON      ","18:15-21","U7"
"Programiranje WEB aplikacija","Predavanja i vezbe","Medenica Igor","2s2","    SRE    ","19:15-21","U7"
"Interakcija covek racunar","Vezbe","Mijatovic Igor","2s2","      PON      ","15:15-17","U4"
"Elektronsko poslovanje","Vezbe","Radosavljevic Nemanja","2s2","     UTO     ","16:15-18","U3"
"Interakcija covek racunar","Predavanja","Vujosevic Dusan","301, 302, 303, 304, 306, 308, 309, 310, 2s1, 2s2, 307","    SRE    ","16:15-18","Kolarac"
"Interakcija covek racunar","Vezbe","Radosavljevic Nemanja","301, 302, 303, 304, 310","   ČET   ","12:15-14","U7"
"Verovatnoca i statistika","Predavanja","Jovanovic Jelena","301, 302, 304, 306, 307, 308","      PON      ","12:15-14","U6"
"Verovatnoca i statistika","Vezbe","Jerotijevic Marija","301, 302, 304, 306, 308, 307","      PON      ","16:15-18","Rg7"
"Masinsko ucenje","Predavanja","Ilic Nemanja","301, 302, 309, 307","  PET  ","14:15-16","Rg7"
"Masinsko ucenje","Vezbe","Cerovic Milutin","301, 302, 309, 307","    SRE    ","18:15-20","Rg9"
"WEB programiranje","Predavanja","Vidakovic MIlan","301, 303, 304, 308, 309, 310, 314, 319","  PET  ","11:15-13","U1"
"Softverske komponente","Predavanja","Dimic Surla Bojana","301, 308","    SRE    ","14:15-16","U3"
"Genetski algoritmi","Predavanja","Vasiljevic Jelena","302, 303, 306, 310, 307","  PET  ","18:15-20","Rg3"
"Softverske komponente","Vezbe","Radovic Mihailo","301, 308","    SRE    ","10:15-12","U4"
"Genetski algoritmi","Vezbe","Tomic Milan","302, 303, 306, 310, 307","      PON      ","14:15-16","U5"
"Modelovanje i simulacija","Predavanja","Jankovic Radomir","302, 304, 306, 310, 312, 317, 319","   ČET   ","10:15-12","U1"
"Modelovanje i simulacija","Vezbe","Jankovic Radomir","302, 304, 310","   ČET   ","14:15-16","U7"
"Razvoj mobilnih aplikacija","Vezbe","Medenica Igor","303, 304, 309, 313, 314","     UTO     ","19:15-21","U4"
"Verovatnoca i statistika","Vezbe","Jerotijevic Marija","303, 309, 310, 312, 313, 314, 317, 319","      PON      ","11:15-13","U1"
"WEB programiranje","Vezbe","Pluskoski Aleksandar","304, 308, 301","      PON      ","14:15-16","U7"
"Razvoj mobilnih aplikacija","Vezbe","Medenica Igor","306, 308, 307","     UTO     ","17:15-19","Rg9"
"Interakcija covek racunar","Vezbe","Radosavljevic Nemanja","306, 308, 309, 307","     UTO     ","13:15-15","U7"
"Modelovanje i simulacija","Vezbe","Jankovic Radomir","306, 312, 317, 319","    SRE    ","12:15-14","U3"
"Verovatnoca i statistika","Predavanja","Jovanovic Jelena","309, 310, 312, 313, 314, 317, 319, 303","     UTO     ","15:15-17","Rg7"
"WEB programiranje","Vezbe","Pluskoski Aleksandar","309, 310, 314, 319, 303","    SRE    ","14:15-16","U7"
"Kompresija podataka","Predavanja","Vucic Desimir","312, 313, 314, 317, 319","   ČET   ","14:15-17","Rg3"
"Kompresija podataka","Vezbe","Vukotic Selena","312, 313, 314, 317, 319","     UTO     ","13:15-15","U5"
"Bezbednost mreza","Predavanja","Babic Djorde","312, 313, 314, 319","      PON      ","14:15-16","Rg7"
"Bezbednost mreza","Vezbe","Bojovic Petar","312, 313, 314, 319","   ČET   ","12:15-14","U3"
"Uvod u robotiku","Predavanja","Jovanovic Milos","312, 313, 317","     UTO     ","17:15-19","Rg7"
"Uvod u robotiku","Vezbe","Obradovic Dusan","312, 313, 317","    SRE    ","15:15-17","Rg9"
"Upravljacki sistemi","Predavanja i vezbe","Ilic Nemanja","317","  PET  ","17:15-19","Rg9"
"Upravljacki sistemi","Predavanja i vezbe","Ilic Nemanja","317","  PET  ","19:15-21","Rg9"
"Upravljanje i odrzavanje Windows Server okruzenja","Predavanja i vezbe","Lale Sinisa","3s1","     UTO     ","09:15-12","CET 8"
"Upravljanje i odrzavanje Windows Server okruzenja","Predavanja i vezbe","Lale Sinisa","3s1","     UTO     ","12:15-15","CET 8"
"Implementiranje Microsoft ISA servera","Predavanja i vezbe","Lale Sinisa","3s1","   ČET   ","09:15-12","CET 8"
"Implementiranje Microsoft ISA servera","Predavanja i vezbe","Lale Sinisa","3s1","   ČET   ","12:15-15","CET 8"
"Prakticne tehnike zastite u IP mrezama","Predavanja","Bojovic Petar","3s1","      PON      ","15:15-18","Rg9"
"Prakticne tehnike zastite u IP mrezama","Vezbe","Majstorovic Dunja","3s1"," SUB ","09:15-12","U3"
"Razvoj infrastrukture i servisa u oblaku","Predavanja","Miletic Misa","3s2","     UTO     ","18:15-21","U5"
"Razvoj infrastrukture i servisa u oblaku","Vezbe","Miletic Misa","3s2","   ČET   ","17:15-20","U5"
"Razvoj web aplikacija i servisa","Predavanja i vezbe","Vesic Slavimir","3s2"," SUB ","11:15-14","Rg1"
"Razvoj web aplikacija i servisa","Predavanja i vezbe","Vesic Slavimir","3s2"," SUB ","14:15-17","Rg1"
"Microsoft tehnologije za pristup podacima","Predavanja i vezbe","Vesic Slavimir","3s2","    SRE    ","17:15-20","Rg1"
"Microsoft tehnologije za pristup podacima","Predavanja i vezbe","Vesic Slavimir","3s2","  PET  ","17:15-20","Rg1"
"Istorija racunarstva","Predavanja","Zahorjanski Miroljub","3s2, 3s1","     UTO     ","15:15-17","Rg3"
"Konkurentni i distribuirani sistemi","Vezbe","Milojkovic Branislav","401","   ČET   ","09:15-12","U7"
"Softversko inzenjerstvo","Vezbe","MarkovicAna","401","     UTO     ","09:15-13","U4"
"Teorija algoritama, automata i jezika","Vezbe","Tomic Milan","401","    SRE    ","18:15-21","U3"
"Softversko inzenjerstvo","Predavanja","Perisic Branko","401, 402","     UTO     ","15:15-19","U6"
"Teorija algoritama, automata i jezika","Predavanja","Jovanovic Jelena","401, 402","    SRE    ","15:15-18","U1"
"Razvoj mobilnih aplikacija","Predavanja","Lutovac Maja","303, 304, 306, 308, 309, 313, 314, 307","      PON      ","09:15-11","U1"
"Integrisani informacioni sistemi","Vezbe","Mijailovic Tina","401, 402","  PET  ","14:15-16","U5"
"Konkurentni i distribuirani sistemi","Predavanja","Milinkovic Stevan","401, 402, 403","  PET  ","09:15-12","U3"
"Softversko inzenjerstvo","Vezbe","MarkovicAna","402","      PON      ","09:15-13","U4"
"Teorija algoritama, automata i jezika","Vezbe","Tomic Milan","402","   ČET   ","18:15-21","U4"
"Konkurentni i distribuirani sistemi","Vezbe","Milojkovic Branislav","402, 403","    SRE    ","11:15-14","U7"
"Digitalna obrada signala","Predavanja","Babic Djorde","403","      PON      ","11:15-14","Profesorski kabinet"
"Digitalna obrada signala","Vezbe","Vukotic Selena","403","    SRE    ","14:15-17","U5"
"Namenski racunarski sistemi","Predavanja","Jovanovic Milos","403","   ČET   ","18:15-21","Rg3"
"Namenski racunarski sistemi","Vezbe","Obradovic Dusan","403","      PON      ","14:15-17","U8"
